,gene_ids
MOB3C,ENSG00000142961.14
PDZK1IP1,ENSG00000162366.8
TAL1,ENSG00000162367.11
SPATA6,ENSG00000132122.12
RNF11,ENSG00000123091.5
CC2D1B,ENSG00000154222.14
TUT4,ENSG00000134744.14
SHISAL2A,ENSG00000182183.15
RPS13P2,ENSG00000228929.1
SLC1A7,ENSG00000162383.13
SSBP3,ENSG00000157216.15
TTC22,ENSG00000006555.11
LEXM,ENSG00000162398.11
USP24,ENSG00000162402.14
JUN,ENSG00000177606.7
NFIA,ENSG00000162599.17
PATJ,ENSG00000132849.20
LEPROT,ENSG00000213625.9
LEPR,ENSG00000116678.20
PDE4B,ENSG00000184588.18
GADD45A,ENSG00000116717.13
WLS,ENSG00000116729.14
FPGT,ENSG00000254685.6
ST6GALNAC3,ENSG00000184005.11
AK5,ENSG00000154027.19
MIGA1,ENSG00000180488.15
NSRP1P1,ENSG00000235613.2
NEXN,ENSG00000162614.18
AC103591.3,ENSG00000273338.1
IFI44L,ENSG00000137959.16
IFI44,ENSG00000137965.11
TTLL7,ENSG00000137941.17
AL359504.1,ENSG00000271576.1
AL359762.1,ENSG00000284882.1
SSX2IP,ENSG00000117155.16
MCOLN2,ENSG00000153898.13
AL078459.1,ENSG00000223653.6
PKN2,ENSG00000065243.20
GBP3,ENSG00000117226.12
GBP1,ENSG00000117228.10
AC099063.4,ENSG00000284734.1
GBP5,ENSG00000154451.14
LRRC8B,ENSG00000197147.13
LRRC8D,ENSG00000171492.14
TGFBR3,ENSG00000069702.11
EPHX4,ENSG00000172031.7
BTBD8,ENSG00000189195.14
RPAP2,ENSG00000122484.9
GFI1,ENSG00000162676.12
EVI5,ENSG00000067208.14
CCDC18-AS1,ENSG00000223745.8
GCLM,ENSG00000023909.10
PTBP2,ENSG00000117569.18
DPYD,ENSG00000188641.14
SLC35A3,ENSG00000117620.15
AC118553.2,ENSG00000283761.1
TRMT13,ENSG00000122435.10
DBT,ENSG00000137992.14
RTCA-AS1,ENSG00000224616.3
CDC14A,ENSG00000079335.20
VCAM1,ENSG00000162692.12
S1PR1,ENSG00000170989.10
RNPC3,ENSG00000185946.16
AMY2B,ENSG00000240038.6
VAV3,ENSG00000134215.16
LINC02785,ENSG00000226822.3
KIAA1324,ENSG00000116299.17
CELSR2,ENSG00000143126.8
SORT1,ENSG00000134243.12
CYB561D1,ENSG00000174151.14
AMPD2,ENSG00000116337.19
GSTM2,ENSG00000213366.13
GSTM1,ENSG00000134184.13
GSTM3,ENSG00000134202.11
CSF1,ENSG00000184371.14
KCNC4,ENSG00000116396.14
RBM15,ENSG00000162775.16
AL355488.1,ENSG00000273373.1
AL365361.1,ENSG00000259834.1
KCNA3,ENSG00000177272.9
LRIF1,ENSG00000121931.16
AL355816.2,ENSG00000273221.1
DENND2D,ENSG00000162777.17
CHI3L2,ENSG00000064886.14
C1orf162,ENSG00000143110.11
INKA2,ENSG00000197852.12
RHOC,ENSG00000155366.17
SLC16A1-AS1,ENSG00000226419.8
LRIG2,ENSG00000198799.12
AP4B1,ENSG00000134262.13
HIPK1-AS1,ENSG00000235527.7
HIPK1,ENSG00000163349.22
TSPAN2,ENSG00000134198.10
SLC22A15,ENSG00000163393.13
CD2,ENSG00000116824.5
TENT5C,ENSG00000183508.5
PHGDH,ENSG00000092621.12
REG4,ENSG00000134193.15
NOTCH2,ENSG00000134250.20
NBPF26,ENSG00000273136.7
AC253572.2,ENSG00000287979.1
FCGR1B,ENSG00000198019.13
FCGR1CP,ENSG00000265531.3
SRGAP2B,ENSG00000196369.11
LINC01145,ENSG00000272419.6
AC241585.2,ENSG00000281571.2
AC245014.3,ENSG00000276216.1
NBPF20,ENSG00000162825.16
CD160,ENSG00000117281.16
ANKRD34A,ENSG00000272031.3
TXNIP,ENSG00000265972.6
AC239799.2,ENSG00000287190.1
NBPF10,ENSG00000271425.9
NOTCH2NLA,ENSG00000264343.6
SEC22B4P,ENSG00000277406.2
AC245407.2,ENSG00000287978.1
NBPF12,ENSG00000268043.7
PRKAB2,ENSG00000131791.8
FMO5,ENSG00000131781.13
NBPF11,ENSG00000263956.6
LINC01138,ENSG00000274020.4
NBPF14,ENSG00000270629.6
PDE4DIP,ENSG00000178104.19
NBPF9,ENSG00000269713.7
AC245297.4,ENSG00000274265.5
NOTCH2NLC,ENSG00000286219.1
LINC00869,ENSG00000277147.6
FCGR1A,ENSG00000150337.13
H2BC18,ENSG00000203814.6
H3C13,ENSG00000183598.4
H2BC19P,ENSG00000220323.4
H2AC19,ENSG00000272196.2
H2BC21,ENSG00000184678.10
H2AC21,ENSG00000184270.6
MTMR11,ENSG00000014914.21
OTUD7B,ENSG00000264522.6
AC244033.2,ENSG00000285184.3
PLEKHO1,ENSG00000023902.14
PRPF3,ENSG00000117360.13
RPRD2,ENSG00000163125.15
ADAMTSL4,ENSG00000143382.15
ADAMTSL4-AS1,ENSG00000203804.4
MCL1,ENSG00000143384.13
CTSS,ENSG00000163131.11
ARNT,ENSG00000143437.21
MINDY1,ENSG00000143409.15
PRUNE1,ENSG00000143363.17
C1orf56,ENSG00000143443.10
GABPB2,ENSG00000143458.12
PIP5K1A,ENSG00000143398.20
ZNF687-AS1,ENSG00000232671.6
POGZ,ENSG00000143442.22
S100A10,ENSG00000197747.9
S100A11,ENSG00000163191.6
S100A12,ENSG00000163221.9
INTS3,ENSG00000143624.14
SLC27A3,ENSG00000143554.14
GATAD2B,ENSG00000143614.10
DENND4B,ENSG00000198837.10
JTB,ENSG00000143543.15
AL358472.2,ENSG00000272654.1
AQP10,ENSG00000143595.13
ATP8B2,ENSG00000143515.18
IL6R,ENSG00000160712.13
AL451085.2,ENSG00000270361.1
PBXIP1,ENSG00000163346.17
AL451085.3,ENSG00000271380.1
ZBTB7B,ENSG00000160685.13
THBS3,ENSG00000169231.13
CLK2,ENSG00000176444.19
ASH1L,ENSG00000116539.13
ASH1L-AS1,ENSG00000235919.4
SYT11,ENSG00000132718.9
RIT1,ENSG00000143622.11
KHDC4,ENSG00000132680.11
ARHGEF2,ENSG00000116584.20
LMNA,ENSG00000160789.20
SEMA4A,ENSG00000196189.13
PMF1,ENSG00000160783.19
SMG5,ENSG00000198952.8
TMEM79,ENSG00000163472.19
C1orf61,ENSG00000125462.18
TTC24,ENSG00000187862.12
SH2D2A,ENSG00000027869.11
NTRK1,ENSG00000198400.11
ARHGEF11,ENSG00000132694.18
FCRL3,ENSG00000160856.21
CD1D,ENSG00000158473.8
CD1C,ENSG00000158481.13
MNDA,ENSG00000163563.8
PYHIN1,ENSG00000163564.15
FCER1A,ENSG00000179639.10
FCRL6,ENSG00000181036.14
TAGLN2,ENSG00000158710.15
DCAF8,ENSG00000132716.19
AL139011.1,ENSG00000228606.3
SLAMF6,ENSG00000162739.14
CD84,ENSG00000066294.15
SLAMF1,ENSG00000117090.15
SLAMF7,ENSG00000026751.17
LY9,ENSG00000122224.18
CD244,ENSG00000122223.13
F11R,ENSG00000158769.18
USF1,ENSG00000158773.14
FCER1G,ENSG00000158869.11
AL592295.4,ENSG00000283696.1
AL592295.5,ENSG00000288093.1
FCGR2A,ENSG00000143226.14
HSPA6,ENSG00000173110.8
FCGR3A,ENSG00000203747.11
FCGR2C,ENSG00000244682.7
HSPA7,ENSG00000225217.1
FCGR3B,ENSG00000162747.12
FCGR2B,ENSG00000072694.21
SH2D1B,ENSG00000198574.6
POU2F1,ENSG00000143190.23
CD247,ENSG00000198821.10
CREG1,ENSG00000143162.9
TBX19,ENSG00000143178.13
XCL2,ENSG00000143185.4
XCL1,ENSG00000143184.5
ATP1B1,ENSG00000143153.13
SLC19A2,ENSG00000117479.15
F5,ENSG00000198734.12
SELP,ENSG00000174175.17
SELL,ENSG00000188404.10
KIFAP3,ENSG00000075945.13
FMO4,ENSG00000076258.10
DNM3,ENSG00000197959.14
FASLG,ENSG00000117560.8
TNFSF4,ENSG00000117586.11
AL645568.1,ENSG00000203739.4
ZBTB37,ENSG00000185278.15
RABGAP1L,ENSG00000152061.23
Z99127.4,ENSG00000287697.1
AL365357.1,ENSG00000213058.3
RALGPS2,ENSG00000116191.17
ABL2,ENSG00000143322.21
TOR1AIP2,ENSG00000169905.12
AL353708.3,ENSG00000272906.1
CEP350,ENSG00000135837.16
IER5,ENSG00000162783.11
EIF1P3,ENSG00000231684.3
GLUL,ENSG00000135821.19
RNASEL,ENSG00000135828.11
RGS16,ENSG00000143333.7
NPL,ENSG00000135838.13
SMG7-AS1,ENSG00000232860.8
NCF2,ENSG00000116701.15
COLGALT2,ENSG00000198756.12
C1orf21,ENSG00000116667.14
SWT1,ENSG00000116668.13
AL356273.6,ENSG00000279838.1
IVNS1ABP,ENSG00000116679.16
PTGS2,ENSG00000073756.12
RGS18,ENSG00000150681.10
RGS1,ENSG00000090104.12
RPS27AP5,ENSG00000231767.4
RGS2,ENSG00000116741.8
ASPM,ENSG00000066279.18
ZBTB41,ENSG00000177888.7
NEK7,ENSG00000151414.15
MIR181A1HG,ENSG00000229989.4
ZNF281,ENSG00000162702.8
CAMSAP2,ENSG00000118200.14
GPR25,ENSG00000170128.5
KIF21B,ENSG00000116852.14
PHLDA3,ENSG00000174307.7
LGR6,ENSG00000133067.17
PPP1R12B,ENSG00000077157.22
KDM5B,ENSG00000117139.18
ADIPOR1,ENSG00000159346.13
CYB5R1,ENSG00000159348.13
LINC01353,ENSG00000231507.2
LINC01136,ENSG00000233791.5
BTG2,ENSG00000159388.6
ATP2B4,ENSG00000058668.14
LAX1,ENSG00000122188.13
SOX13,ENSG00000143842.15
PPP1R15B,ENSG00000158615.9
PIK3C2B,ENSG00000133056.13
DSTYK,ENSG00000133059.17
NUAK2,ENSG00000163545.11
ELK4,ENSG00000158711.14
SLC41A1,ENSG00000133065.11
BX571818.1,ENSG00000285417.1
SRGAP2,ENSG00000266028.7
AL591846.2,ENSG00000224114.1
IL10,ENSG00000136634.7
FCMR,ENSG00000162894.12
PFKFB2,ENSG00000123836.15
YOD1,ENSG00000180667.10
CR1,ENSG00000203710.11
MIR29B2CHG,ENSG00000203709.12
PLXNA2,ENSG00000076356.7
HSD11B1-AS1,ENSG00000227591.5
G0S2,ENSG00000123689.6
HSD11B1,ENSG00000117594.10
RCOR3,ENSG00000117625.13
TRAF5,ENSG00000082512.15
LINC00467,ENSG00000153363.13
SLC30A1,ENSG00000170385.10
ATF3,ENSG00000162772.17
BATF3,ENSG00000123685.9
ANGEL2,ENSG00000174606.14
RPS6KC1,ENSG00000136643.12
CENPF,ENSG00000117724.13
LYPLAL1,ENSG00000143353.12
MTARC1,ENSG00000186205.13
HLX,ENSG00000136630.13
DISP1,ENSG00000154309.8
TLR5,ENSG00000187554.14
GTF2IP20,ENSG00000272645.3
TMEM63A,ENSG00000196187.12
ITPKB,ENSG00000143772.9
ZNF678,ENSG00000181450.18
OBSCN,ENSG00000154358.21
RHOU,ENSG00000116574.6
CCSAP,ENSG00000154429.11
GALNT2,ENSG00000143641.10
C1orf198,ENSG00000119280.17
TTC13,ENSG00000143643.13
EXOC8,ENSG00000116903.7
AL445524.1,ENSG00000233461.6
DISC1,ENSG00000162946.23
SIPA1L2,ENSG00000116991.10
PCNX2,ENSG00000135749.19
COA6-AS1,ENSG00000231663.1
AL391832.2,ENSG00000238005.4
TBCE,ENSG00000285053.1
TBCE-1,ENSG00000284770.2
GNG4,ENSG00000168243.11
LYST,ENSG00000143669.14
NID1,ENSG00000116962.15
ERO1B,ENSG00000086619.14
MTR,ENSG00000116984.13
GREM2,ENSG00000180875.5
CEP170,ENSG00000143702.16
SDCCAG8,ENSG00000054282.16
AKT3,ENSG00000117020.18
ZBTB18,ENSG00000179456.10
AL356512.1,ENSG00000272195.1
EFCAB2,ENSG00000203666.12
CNST,ENSG00000162852.14
AHCTF1,ENSG00000153207.16
AL390728.6,ENSG00000259865.1
AL390728.4,ENSG00000227671.4
NLRP3,ENSG00000162711.17
TRIM58,ENSG00000162722.9
SH3BP5L,ENSG00000175137.11
ZNF672,ENSG00000171161.13
PGBD2,ENSG00000185220.12
SH3YL1,ENSG00000035115.22
AC231981.1,ENSG00000235078.1
CMPK2,ENSG00000134326.11
RSAD2,ENSG00000134321.12
RNF144A,ENSG00000151692.15
LINC01871,ENSG00000235576.1
LINC00299,ENSG00000236790.6
ID2,ENSG00000115738.10
MBOAT2,ENSG00000143797.12
ASAP2,ENSG00000151693.11
ADAM17,ENSG00000151694.14
AC104794.3,ENSG00000260077.1
RRM2,ENSG00000171848.15
ODC1,ENSG00000115758.13
ODC1-DT,ENSG00000257135.7
ROCK2,ENSG00000134318.14
TRIB2,ENSG00000071575.11
CYRIA,ENSG00000197872.11
LINC00954,ENSG00000228784.9
AC013400.1,ENSG00000271991.1
WDR35,ENSG00000118965.15
RHOB,ENSG00000143878.10
UBXN2A,ENSG00000173960.14
FKBP1B,ENSG00000119782.14
FAM228B,ENSG00000219626.9
NCOA1,ENSG00000084676.15
DNAJC27,ENSG00000115137.12
POMC,ENSG00000115138.11
ASXL2,ENSG00000143970.17
KIF3C,ENSG00000084731.15
OTOF,ENSG00000115155.18
MAPRE3,ENSG00000084764.12
ZNF513,ENSG00000163795.14
KRTCAP3,ENSG00000157992.12
IFT172,ENSG00000138002.15
ZNF512,ENSG00000243943.10
FOSL2,ENSG00000075426.12
AC104695.4,ENSG00000270640.1
PLB1,ENSG00000163803.13
AC092164.1,ENSG00000226833.6
SPDYA,ENSG00000163806.16
TOGARAM2,ENSG00000189350.12
CLIP4,ENSG00000115295.20
YPEL5,ENSG00000119801.13
LBH,ENSG00000213626.13
EHD3,ENSG00000013016.16
SPAST,ENSG00000021574.12
AL121658.1,ENSG00000272716.1
NLRC4,ENSG00000091106.19
AL133245.1,ENSG00000272754.1
AL133243.3,ENSG00000276517.1
LTBP1,ENSG00000049323.16
RASGRP3,ENSG00000152689.18
CRIM1,ENSG00000150938.10
FEZ2,ENSG00000171055.15
STRN,ENSG00000115808.12
HEATR5B,ENSG00000008869.12
GPATCH11,ENSG00000152133.15
PRKD3,ENSG00000115825.10
QPCT,ENSG00000115828.17
AC006369.1,ENSG00000236213.2
CDC42EP3,ENSG00000163171.8
CYP1B1,ENSG00000138061.12
CYP1B1-AS1,ENSG00000232973.13
DHX57,ENSG00000163214.21
SOS1,ENSG00000115904.13
MAP4K3,ENSG00000011566.15
SLC8A1,ENSG00000183023.18
EML4,ENSG00000143924.19
LINC02580,ENSG00000230587.2
ZFP36L2,ENSG00000152518.8
THADA,ENSG00000115970.18
PPM1B,ENSG00000138032.21
PRKCE,ENSG00000171132.14
EPAS1,ENSG00000116016.14
RHOQ,ENSG00000119729.12
SOCS5,ENSG00000171150.9
KCNK12,ENSG00000184261.5
STON1,ENSG00000243244.6
SPTBN1,ENSG00000115306.16
CLHC1,ENSG00000162994.16
PRORSD1P,ENSG00000162997.15
CCDC88A,ENSG00000115355.17
AC015982.2,ENSG00000272606.1
BCL11A,ENSG00000119866.22
AHSA2P,ENSG00000173209.23
AC016727.1,ENSG00000270820.6
WDPCP,ENSG00000143951.16
VPS54,ENSG00000143952.20
PELI1,ENSG00000197329.12
AC012368.1,ENSG00000225889.8
LINC00309,ENSG00000230923.2
LGALSL,ENSG00000119862.13
AC008074.2,ENSG00000260101.1
CEP68,ENSG00000011523.14
AC017083.1,ENSG00000273064.1
PLEK,ENSG00000115956.10
FBXO48,ENSG00000204923.4
ARHGAP25,ENSG00000163219.12
MXD1,ENSG00000059728.11
C2orf42,ENSG00000115998.7
NAGK,ENSG00000124357.13
DYSF,ENSG00000135636.14
EXOC6B,ENSG00000144036.16
SFXN5,ENSG00000144040.13
RAB11FIP5,ENSG00000135631.17
ALMS1,ENSG00000116127.18
NAT8B,ENSG00000204872.4
AC073046.1,ENSG00000235499.1
TET3,ENSG00000187605.15
BOLA3-AS1,ENSG00000225439.3
INO80B,ENSG00000115274.15
CCDC142,ENSG00000135637.14
SEMA4F,ENSG00000135622.13
HK2,ENSG00000159399.10
ELMOD3,ENSG00000115459.18
CAPG,ENSG00000042493.16
VAMP5,ENSG00000168899.5
TMEM150A,ENSG00000168890.14
ST3GAL5,ENSG00000115525.18
KDM3A,ENSG00000115548.17
RNF103,ENSG00000239305.7
CD8A,ENSG00000153563.15
CD8B,ENSG00000172116.23
LINC01943,ENSG00000280721.1
CYTOR,ENSG00000222041.11
AC133644.1,ENSG00000273445.1
EIF2AK3,ENSG00000172071.14
EIF2AK3-DT,ENSG00000234028.3
IGKC,ENSG00000211592.8
MAL,ENSG00000172005.11
ZNF514,ENSG00000144026.12
LINC00342,ENSG00000232931.6
ANKRD36C,ENSG00000174501.14
FAHD2CP,ENSG00000231584.8
DUSP2,ENSG00000158050.5
AC021188.1,ENSG00000230747.1
ARID5A,ENSG00000196843.17
KANSL3,ENSG00000114982.19
SEMA4C,ENSG00000168758.11
ANKRD36,ENSG00000135976.20
AC092683.1,ENSG00000230606.11
ANKRD36B,ENSG00000196912.12
ZAP70,ENSG00000115085.13
INPP4A,ENSG00000040933.16
MGAT4A,ENSG00000071073.13
TSGA10,ENSG00000135951.16
LIPT1,ENSG00000144182.17
AFF3,ENSG00000144218.19
TBC1D8,ENSG00000204634.12
RNF149,ENSG00000163162.9
MAP4K4,ENSG00000071054.16
LINC01127,ENSG00000281162.2
IL1R2,ENSG00000115590.14
IL1R1,ENSG00000115594.12
IL18R1,ENSG00000115604.10
IL18RAP,ENSG00000115607.9
FHL2,ENSG00000115641.19
NCK2,ENSG00000071051.14
CD8B2,ENSG00000254126.8
LIMS1,ENSG00000169756.16
MIR4435-2HG,ENSG00000172965.17
BCL2L11,ENSG00000153094.24
SOCAR,ENSG00000240350.3
ZC3H6,ENSG00000188177.14
AC079922.2,ENSG00000237753.2
IL1B,ENSG00000125538.12
IL1RN,ENSG00000136689.18
PAX8-AS1,ENSG00000189223.15
PAX8,ENSG00000125618.17
WASH2P,ENSG00000146556.14
RPL23AP7,ENSG00000240356.6
RABL2A,ENSG00000144134.18
SLC35F5,ENSG00000115084.15
AC110769.2,ENSG00000270019.1
CCDC93,ENSG00000125633.11
AC009303.4,ENSG00000279227.1
MARCO,ENSG00000019169.10
PTPN4,ENSG00000088179.9
EPB41L5,ENSG00000115109.14
CLASP1,ENSG00000074054.18
MYO7B,ENSG00000169994.18
LIMS2,ENSG00000072163.19
UGGT1,ENSG00000136731.13
HS6ST1,ENSG00000136720.7
PTPN18,ENSG00000072135.13
MGAT5,ENSG00000152127.9
CXCR4,ENSG00000121966.7
HNMT,ENSG00000150540.14
SPOPL,ENSG00000144228.9
AC092620.1,ENSG00000241772.2
KYNU,ENSG00000115919.15
ARHGAP15,ENSG00000075884.14
ZEB2,ENSG00000169554.21
AC009951.4,ENSG00000279166.1
ZEB2-AS1,ENSG00000238057.9
AC009951.6,ENSG00000287115.1
MBD5,ENSG00000204406.13
EPC2,ENSG00000135999.12
RBM43,ENSG00000184898.7
FMNL2,ENSG00000157827.20
NR4A2,ENSG00000153234.14
GPD2,ENSG00000115159.16
ERMN,ENSG00000136541.14
ACVR1,ENSG00000115170.15
WDSUB1,ENSG00000196151.10
BAZ2B,ENSG00000123636.18
AC009506.2,ENSG00000224152.1
CD302,ENSG00000241399.7
GCA,ENSG00000115271.11
GALNT3,ENSG00000115339.14
AC009495.3,ENSG00000235192.1
STK39,ENSG00000198648.11
DHRS9,ENSG00000073737.16
UBR3,ENSG00000144357.17
TLK1,ENSG00000198586.14
ITGA6,ENSG00000091409.15
AC078883.1,ENSG00000225205.5
PDK1,ENSG00000152256.14
GPR155,ENSG00000163328.13
AC079305.4,ENSG00000229337.2
TTN-AS1,ENSG00000237298.10
TTN,ENSG00000155657.27
CCDC141,ENSG00000163492.15
SESTD1,ENSG00000187231.14
LINC01934,ENSG00000234663.7
ITGA4,ENSG00000115232.14
ITPRID2,ENSG00000138434.17
DNAJC10,ENSG00000077232.18
NCKAP1,ENSG00000061676.15
AC096667.1,ENSG00000283839.1
ZNF804A,ENSG00000170396.8
ITGAV,ENSG00000138448.12
SLC40A1,ENSG00000138449.11
ANKAR,ENSG00000151687.14
C2orf88,ENSG00000187699.10
MFSD6,ENSG00000151690.15
AC006460.2,ENSG00000284052.1
GLS,ENSG00000115419.13
STAT1,ENSG00000115415.20
STAT4,ENSG00000138378.19
NABP1,ENSG00000173559.14
CAVIN2,ENSG00000168497.5
SLC39A10,ENSG00000196950.14
STK17B,ENSG00000081320.11
HECW2,ENSG00000138411.13
HECW2-AS1,ENSG00000229056.2
RPL4P7,ENSG00000224442.1
ANKRD44-AS1,ENSG00000231621.1
ANKRD44-IT1,ENSG00000236977.1
HSPD1,ENSG00000144381.17
PLCL1,ENSG00000115896.16
CLK1,ENSG00000013441.16
FAM126B,ENSG00000155744.9
CFLAR,ENSG00000003402.20
CASP10,ENSG00000003400.15
CASP8,ENSG00000064012.22
BMPR2,ENSG00000204217.15
CARF,ENSG00000138380.18
NBEAL1,ENSG00000144426.18
ABI2,ENSG00000138443.16
CTLA4,ENSG00000163599.17
ICOS,ENSG00000163600.13
NRP2,ENSG00000118257.16
INO80D,ENSG00000114933.16
AC007383.1,ENSG00000227946.1
KLF7,ENSG00000118263.15
PIKFYVE,ENSG00000115020.17
KANSL1L,ENSG00000144445.17
IKZF2,ENSG00000030419.16
FN1,ENSG00000115414.20
IGFBP2,ENSG00000115457.10
TNS1,ENSG00000079308.19
RUFY4,ENSG00000188282.12
CXCR2P1,ENSG00000229754.1
CXCR2,ENSG00000180871.8
CXCR1,ENSG00000163464.8
GPBAR1,ENSG00000179921.15
TMBIM1,ENSG00000135926.15
CATIP-AS1,ENSG00000225062.1
SLC11A1,ENSG00000018280.17
ZNF142,ENSG00000115568.15
STK36,ENSG00000163482.12
TTLL4,ENSG00000135912.11
CYP27A1,ENSG00000135929.9
ANKZF1,ENSG00000163516.14
TUBA4A,ENSG00000127824.14
DNAJB2,ENSG00000135924.15
STK11IP,ENSG00000144589.22
EPHA4,ENSG00000116106.12
SERPINE2,ENSG00000135919.13
FAM124B,ENSG00000124019.10
